2015-04-23T16:27:37-04:00: Budget Work Session of the City Council
2018-02-28T16:30:22+00:00: City Coucil Roundtable with Staff on Council Priorities - Wednesday, February 28, 2018 - Part I
2018-02-28T17:02:33+00:00: City Coucil Roundtable with Staff on Council Priorities - Wednesday, February 28, 2018 - Part II
2017-02-22T16:30:03-05:00: City Council Meeting - Wednesday, February 22, 2017
2016-02-03T16:34:16-05:00: City Council Meeting - Wednesday, February 3, 2016
2018-02-07T16:30:23+00:00: City Council Meeting - Wednesday, February 7, 2018
2017-02-08T16:30:22+00:00: City Council Meeting - Wednesday, February 8, 2017
2017-01-11T16:24:08-05:00: City Council Meeting - Wednesday, January 11, 2017
2018-01-17T16:30:23+00:00: City Council Meeting - Wednesday, January 17, 2018
2017-01-18T13:30:05-05:00: City Council Meeting - Wednesday, January 18, 2017 
2018-01-24T16:27:40+00:00: City Council Meeting - Wednesday, January 24, 2018
2017-01-25T12:00:15-05:00: City Council Meeting - Wednesday, January 25, 2017
2018-07-11T16:30:20+00:00: City Council Meeting - Wednesday, July 11, 2018
2017-07-12T16:30:26-04:00: City Council Meeting - Wednesday, July 12, 2017
2012-07-18T16:30:28-04:00: City Council Meeting - Wednesday, July 18, 2012
2018-07-18T16:30:22+00:00: City Council Meeting - Wednesday, July 18, 2018
2017-07-19T16:27:37-04:00: City Council Meeting - Wednesday, July 19, 2017
2018-07-25T16:29:52+00:00: City Council Meeting - Wednesday, July 25, 2018
2017-07-26T16:30:01+00:00: City Council Meeting - Wednesday, July 26, 2017
2016-06-01T10:07:13-04:00: City Council Meeting - Wednesday, June 1, 2016
2017-06-14T16:30:23-04:00: City Council Meeting - Wednesday, June 14, 2017
2018-06-20T16:30:21+00:00: City Council Meeting - Wednesday, June 20, 2018
2017-06-21T16:45:00-04:00: City Council Meeting - Wednesday, June 21, 2017
2016-06-22T16:26:52-04:00: City Council Meeting - Wednesday, June 22, 2016
2018-06-27T16:01:22+00:00: City Council Meeting - Wednesday, June 27, 2018
2018-06-07T12:03:07+00:00: City Council Meeting - Wednesday, June 6, 2018
2017-06-07T16:37:23-04:00: City Council Meeting - Wednesday, June 7, 2017
2017-03-01T16:30:23-05:00: City Council Meeting - Wednesday, March 1, 2017
2018-03-14T16:30:21+00:00: City Council Meeting - Wednesday, March 14, 2018
2017-03-15T16:38:31-04:00: City Council Meeting - Wednesday, March 15, 2017
2017-03-22T16:27:56-04:00: City Council Meeting - Wednesday, March 22, 2017
2018-03-07T16:30:23+00:00: City Council Meeting - Wednesday, March 7, 2018
2017-03-08T16:24:30-05:00: City Council Meeting - Wednesday, March 8, 2017
2017-05-10T21:55:08-04:00: City Council Meeting - Wednesday, May 10, 2017
2018-05-16T16:24:22+00:00: City Council Meeting - Wednesday, May 16, 2018
2017-05-17T16:29:01-04:00: City Council Meeting - Wednesday, May 17, 2017
2018-05-02T16:30:23+00:00: City Council Meeting - Wednesday, May 2, 2018
2018-05-23T23:29:20+00:00: City Council Meeting - Wednesday, May 23, 2018
2017-05-24T16:30:24-04:00: City Council Meeting - Wednesday, May 24, 2017
2017-05-03T16:30:24-04:00: City Council Meeting - Wednesday, May 3, 2017
2018-05-09T16:33:22+00:00: City Council Meeting - Wednesday, May 9, 2018
2017-11-01T16:30:20+00:00: City Council Meeting - Wednesday, November 1, 2017
2017-11-15T16:30:20+00:00: City Council Meeting - Wednesday, November 15, 2017
2016-11-18T23:59:56-05:00: City Council Meeting - Wednesday, November 16, 2016
2016-11-02T16:28:28-04:00: City Council Meeting - Wednesday, November 2, 2016
2017-11-29T16:30:20+00:00: City Council Meeting - Wednesday, November 29, 2017
2016-11-09T16:29:59-05:00: City Council Meeting - Wednesday, November 9, 2016
2017-10-11T16:30:21+00:00: City Council Meeting - Wednesday, October 11, 2017
2016-10-12T16:26:30-04:00: City Council Meeting - Wednesday, October 12, 2016
2017-10-18T16:30:20+00:00: City Council Meeting - Wednesday, October 18, 2017
2016-10-19T16:30:23-04:00: City Council Meeting - Wednesday, October 19, 2016
2016-10-26T16:29:37-04:00: City Council Meeting - Wednesday, October 26, 2016
2017-10-04T16:30:13+00:00: City Council Meeting - Wednesday, October 4, 2017
2016-10-05T16:30:23-04:00: City Council Meeting - Wednesday, October 5, 2016
2017-09-13T16:30:22+00:00: City Council Meeting - Wednesday, September 13, 2017
2017-09-20T16:30:20+00:00: City Council Meeting - Wednesday, September 20, 2017
2016-09-21T16:30:44-04:00: City Council Meeting - Wednesday, September 21, 2016
2017-09-27T16:29:27+00:00: City Council Meeting - Wednesday, September 27, 2017
2016-09-28T16:30:19-04:00: City Council Meeting - Wednesday, September 28, 2016
2017-09-06T16:29:07+00:00: City Council Meeting - Wednesday, September 6, 2017
2018-04-23T11:00:20+00:00: City Council Work Session and Budget Work Session - Monday, April 23, 2018
2018-04-30T16:30:22+00:00: City Council Work Session and Budget Work Session - Monday, April 30, 2018
2014-02-19T15:55:09-05:00: City Council-Staff Round Tables - Wednesday, February 19, 2014
2016-11-14T16:30:25-05:00: City Council/Tree Commission Joint Meeting - Monday, November 14, 2016
2016-01-29T09:00:03-05:00: Closed Session, Presentation, Regular Meeting and Work Session of the City Council
2015-05-26T16:30:05-04:00: Closed Session, Regular Meeting and Work Session of the City Council 
2006-10-16T17:10:44-04:00: Columbia Union College
2018-02-28T12:00:22+00:00: Council Meeting February 28, 2018
2007-10-08T16:57:02-04:00: Crossroads Pedestrian Safety 10-08-07
2017-02-08T17:31:02-05:00: Discussion of NFZ Committee's Recommendation on the City's Banking
2018-03-05T16:30:20+00:00: Green Team Meeting - Monday, March 5, 2018
2015-01-21T16:00:13-05:00: Listening Session I - Takoma Junction Redevelopment
2015-02-03T15:59:13-05:00: Listening Session II - Takoma Junction Redevelopment
2013-10-01T16:32:33-04:00: Nominating Caucus
2015-05-04T15:54:39-04:00: Presentation and  Work Session of the City Council
2015-04-20T15:58:14-04:00: Presentation and Work Session of the City Council
2015-05-18T16:00:10-04:00: Presentation Special Session and  Work Session of the City Council
2015-10-19T16:06:20-04:00: Presentation, Special Session and Work Session of the City Council
2015-04-13T16:00:07-04:00: Public Hearing and Regular Meeting of the City Council
